,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
235,aiweke,ɑ i w ɛ k ɛ,/w/k/,3,6,1
236,aizundua,ɑ i z u n d u ɑ,/z/nd/,3,8,1.5
237,aja,ɑ dʒ ɑ,/dʒ/,2,4,2
238,aja,ɑ ʄ ɑ,/ʄ/,2,3,1
239,ajabu,ɑ dʒ ɑ ɓ u,/dʒ/ɓ/,3,6,1.5
240,ajabu,ɑ ʄ ɑ ɓ u,/ʄ/ɓ/,3,5,1
241,ajabuajabu,ɑ dʒ ɑ ɓ u ɑ dʒ ɑ ɓ u,/dʒ/ɓ/dʒ/ɓ/,5,12,1.5
242,ajabuajabu,ɑ dʒ ɑ ɓ u ɑ ʄ ɑ ɓ u,/dʒ/ɓ/ʄ/ɓ/,5,11,1.25
243,ajali,ɑ dʒ ɑ l i,/dʒ/l/,3,6,1.5
244,ajali,ɑ ʄ ɑ l i,/ʄ/l/,3,5,1
245,ajari,ɑ dʒ ɑ ɾ i,/dʒ/ɾ/,3,6,1.5
246,ajari,ɑ ʄ ɑ ɾ i,/ʄ/ɾ/,3,5,1
247,ajaribu,ɑ dʒ ɑ ɾ i ɓ u,/dʒ/ɾ/ɓ/,4,8,1.3333333333333333
248,ajaribu,ɑ ʄ ɑ ɾ i ɓ u,/ʄ/ɾ/ɓ/,4,7,1
249,ajaye,ɑ dʒ ɑ j ɛ,/dʒ/j/,3,6,1.5
250,ajaye,ɑ ʄ ɑ j ɛ,/ʄ/j/,3,5,1
251,aje,ɑ dʒ ɛ,/dʒ/,2,4,2
252,aje,ɑ ʄ ɛ,/ʄ/,2,3,1
253,ajenda,ɑ dʒ ɛ n d ɑ,/dʒ/nd/,3,7,2
254,ajenda,ɑ ʄ ɛ n d ɑ,/ʄ/nd/,3,6,1.5
255,ajiaminishe,ɑ dʒ i ɑ m i n i ʃ ɛ,/dʒ/m/n/ʃ/,5,11,1.25
256,ajiaminishe,ɑ ʄ i ɑ m i n i ʃ ɛ,/ʄ/m/n/ʃ/,5,10,1
257,ajib,ɑ dʒ i b,/dʒ/b,2,5,1.5
258,ajib,ɑ ʄ i b,/ʄ/b,2,4,1
259,ajibola,ɑ dʒ i ɓ ɔ l ɑ,/dʒ/ɓ/l/,4,8,1.3333333333333333
260,ajibola,ɑ ʄ i ɓ ɔ l ɑ,/ʄ/ɓ/l/,4,7,1
261,ajibu,ɑ dʒ i ɓ u,/dʒ/ɓ/,3,6,1.5
262,ajibu,ɑ ʄ i ɓ u,/ʄ/ɓ/,3,5,1
263,ajiili,ɑ dʒ iː l i,/dʒ/ːl/,3,7,2
264,ajiili,ɑ ʄ iː l i,/ʄ/ːl/,3,6,1.5
265,ajili,ɑ dʒ i l i,/dʒ/l/,3,6,1.5
266,ajili,ɑ ʄ i l i,/ʄ/l/,3,5,1
267,ajinadi,ɑ dʒ i n ɑ ɗ i,/dʒ/n/ɗ/,4,8,1.3333333333333333
268,ajinadi,ɑ ʄ i n ɑ ɗ i,/ʄ/n/ɗ/,4,7,1
269,ajiondoe,ɑ dʒ i ɔ n d ɔ ɛ,/dʒ/nd/,3,9,2
270,ajiondoe,ɑ ʄ i ɔ n d ɔ ɛ,/ʄ/nd/,3,8,1.5
271,ajipange,ɑ dʒ i p ɑ ŋ ɡ ɛ,/dʒ/p/ŋɡ/,4,9,1.6666666666666667
272,ajipange,ɑ ʄ i p ɑ ŋ ɡ ɛ,/ʄ/p/ŋɡ/,4,8,1.3333333333333333
273,ajira,ɑ dʒ i ɾ ɑ,/dʒ/ɾ/,3,6,1.5
274,ajira,ɑ ʄ i ɾ ɑ,/ʄ/ɾ/,3,5,1
275,ajiri,ɑ dʒ i ɾ i,/dʒ/ɾ/,3,6,1.5
276,ajiri,ɑ ʄ i ɾ i,/ʄ/ɾ/,3,5,1
277,ajitetee,ɑ dʒ i t ɛ t ɛː,/dʒ/t/t/ː,4,9,1.25
278,ajitetee,ɑ ʄ i t ɛ t ɛː,/ʄ/t/t/ː,4,8,1
279,ajitokeze,ɑ dʒ i t ɔ k ɛ z ɛ,/dʒ/t/k/z/,5,10,1.25
280,ajitokeze,ɑ ʄ i t ɔ k ɛ z ɛ,/ʄ/t/k/z/,5,9,1
281,ajiulize,ɑ dʒ i u l i z ɛ,/dʒ/l/z/,4,9,1.3333333333333333
282,ajiulize,ɑ ʄ i u l i z ɛ,/ʄ/l/z/,4,8,1
283,ajiunge,ɑ dʒ i u ŋ ɡ ɛ,/dʒ/ŋɡ/,3,8,2
284,ajiunge,ɑ ʄ i u ŋ ɡ ɛ,/ʄ/ŋɡ/,3,7,1.5
285,ajiuzulu,ɑ dʒ i u z u l u,/dʒ/z/l/,4,9,1.3333333333333333
286,ajiuzulu,ɑ ʄ i u z u l u,/ʄ/z/l/,4,8,1
287,ajuaye,ɑ dʒ u ɑ j ɛ,/dʒ/j/,3,7,1.5
288,ajuaye,ɑ ʄ u ɑ j ɛ,/ʄ/j/,3,6,1
289,ajue,ɑ dʒ u ɛ,/dʒ/,2,5,2
290,ajue,ɑ ʄ u ɛ,/ʄ/,2,4,1
291,ajulikane,ɑ dʒ u l i k ɑ n ɛ,/dʒ/l/k/n/,5,10,1.25
292,ajulikane,ɑ ʄ u l i k ɑ n ɛ,/ʄ/l/k/n/,5,9,1
293,aka,ɑ k ɑ,/k/,2,3,1
294,akaacha,ɑ k ɑː tʃ ɑ,/k/ːtʃ/,3,7,2
295,akaaga,ɑ k ɑː ŋ ɡ ɑ,/k/ːŋɡ/,3,7,2
296,akaahidi,ɑ k ɑː h i ɗ i,/k/ːh/ɗ/,4,8,1.3333333333333333
297,akaahirisha,ɑ k ɑː h i ɾ i ʃ ɑ,/k/ːh/ɾ/ʃ/,5,10,1.25
298,akaambiwa,ɑ k ɑː m b i w ɑ,/k/ːmb/w/,4,9,1.6666666666666667
299,akaamua,ɑ k ɑː m u ɑ,/k/ːm/,3,7,1.5
300,akaamuru,ɑ k ɑː m u ɾ u,/k/ːm/ɾ/,4,8,1.3333333333333333
301,akaandika,ɑ k ɑː n d i k ɑ,/k/ːnd/k/,4,9,1.6666666666666667
302,akaangusha,ɑ k ɑː ŋ ɡ u ʃ ɑ,/k/ːŋɡ/ʃ/,4,9,1.6666666666666667
303,akaanza,ɑ k ɑː n z ɑ,/k/ːnz/,3,7,2
304,akaanzisha,ɑ k ɑː n z i ʃ ɑ,/k/ːnz/ʃ/,4,9,1.6666666666666667
305,akaanzishe,ɑ k ɑː n z i ʃ ɛ,/k/ːnz/ʃ/,4,9,1.6666666666666667
306,akaapishwa,ɑ k ɑː p i ʃ w ɑ,/k/ːp/ʃw/,4,9,1.6666666666666667
307,akabadili,ɑ k ɑ ɓ ɑ ɗ i l i,/k/ɓ/ɗ/l/,5,9,1
308,akabadilika,ɑ k ɑ ɓ ɑ ɗ i l i k ɑ,/k/ɓ/ɗ/l/k/,6,11,1
309,akabadilisha,ɑ k ɑ ɓ ɑ ɗ i l i ʃ ɑ,/k/ɓ/ɗ/l/ʃ/,6,11,1
310,akabidhi,ɑ k ɑ ɓ i ð i,/k/ɓ/ð/,4,7,1
311,akabidhiwe,ɑ k ɑ ɓ i ð i w ɛ,/k/ɓ/ð/w/,5,9,1
312,akabusu,ɑ k ɑ ɓ u s u,/k/ɓ/s/,4,7,1
313,akachagua,ɑ k ɑ tʃ ɑ ɠ u ɑ,/k/tʃ/ɠ/,4,9,1.3333333333333333
314,akachaguliwa,ɑ k ɑ tʃ ɑ ɠ u l i w ɑ,/k/tʃ/ɠ/l/w/,6,12,1.2
